cvegeo,avg_schooling_years,pct_homes_internet,pct_homes_car,pct_homes_computer,avg_occupants_per_home
2100100010118,8.06,28.09,25.62,14.44,4.8
210010001018A,8.65,31.22,28.54,20.49,4.58
2100100010194,9.75,42.27,40.70,31.12,4.48
2100100010207,9.14,38.84,31.80,23.68,4.55
2100100010300,7.47,19.78,24.18,10.99,4.92
2100100010315,7.95,30.00,32.22,16.67,4.49
210010001032A,6.95,17.65,32.35,11.76,4.88
2100100010476,9.06,36.28,34.51,24.78,4.58
2100100040122,7.49,22.22,46.30,11.11,4.48
2100100040141,6.94,23.32,48.82,14.57,4.6
2100100040419,7.52,28.25,47.53,12.33,4.76
2100100040423,7.32,32.85,32.85,17.39,4.27
2100100040599,6.76,14.88,49.09,11.75,4.81
2100100060353,8.41,19.80,38.61,12.87,4.04
2100100060438,8.25,26.78,37.02,16.86,4.66
2100100060442,8.12,29.45,36.24,18.44,4.61
2100100060495,10.28,41.67,41.67,25.00,4.08
2100100060565,9.07,33.33,37.50,16.67,4.88
2100100110226,8.24,30.77,40.00,25.77,4.53
2100100110230,8.12,27.81,42.33,21.68,4.46
2100100110283,8.08,,28.57,,4.29
2100100110298,7.56,9.01,27.03,9.01,4.41
2100100110508,8.04,15.45,36.99,13.01,4.62
2100100110512,7.97,21.93,22.81,21.05,4.52
2100100150014,8.29,22.22,37.78,18.89,4.8
2100100150029,7.58,21.96,27.15,12.77,4.83
2100100150033,8.28,25.15,30.36,17.71,4.92
2100100150048,7.13,19.45,28.53,9.89,5.01
2100100150052,7.09,21.05,30.70,13.16,4.96
2100100160264,8.38,39.58,35.09,20.84,4.32
2100100160368,8.05,36.51,33.33,7.94,4.21
2100100160457,8.24,35.00,32.31,16.54,4.89
2100100160461,7.99,37.28,30.31,16.38,4.83
2100100160480,9.35,,,,3.83
2100100160527,6.36,29.41,,23.53,5.06
2100100170349,6.02,,10.10,0.00,5.23
2100100170531,5.23,3.22,6.44,1.14,5.5
2100100170546,5.56,2.40,9.45,0.93,5.05
2100100170550,5.53,,13.33,0.00,5.7
2100100240620,7.93,24.95,36.26,17.93,4.84
2100100240635,7.07,11.40,41.23,7.02,4.82
2100100330601,6.75,12.09,34.88,9.07,4.9
2100100330616,6.69,7.55,29.56,7.86,4.64
210020001005A,7.5,6.19,24.95,9.90,3.56
2100200010064,8.13,9.53,25.00,13.31,3.46
2100300010023,10.77,42.82,33.05,35.95,3.53
2100300010131,10.42,46.84,38.10,37.54,3.47
2100300010146,10.24,44.96,34.88,33.53,3.87
2100300010150,9.83,35.75,29.82,28.89,3.84
2100300010165,9.47,23.12,35.26,26.59,3.97
210030001017A,8.29,10.13,25.32,7.59,4.27
2100300010184,8.67,18.59,29.96,19.49,3.82
2100300010199,8.58,16.67,27.38,17.86,4.23
2100300010269,8.44,7.35,26.47,11.76,4.51
2100300010273,10.06,34.18,43.04,35.44,4.01
2100300010343,6,42.86,,0.00,3.29
2100300010358,9.91,32.37,32.37,29.95,3.85
2100300010362,10.52,40.05,38.42,34.88,3.62
2100300010377,7.64,0.00,60.00,0.00,4.6
2100300010381,9.67,25.00,43.75,34.38,3.78
2100300010396,12.64,49.47,55.32,53.19,3.41
2100300010409,8.03,0.00,35.71,21.43,3.64
2100300150292,7.82,9.55,25.63,10.55,3.69
2100300150305,7.64,3.23,17.05,6.45,3.64
210030015031A,8.3,2.86,20.71,8.57,3.61
2100300150324,8.26,18.42,23.68,,3.68
2100300150339,7.59,6.34,21.95,10.24,3.8
2100400010020,9.08,35.89,41.78,25.04,4.48
2100400010177,7.99,27.87,36.76,19.84,4.94
2100400010181,7.37,17.30,28.80,11.51,4.86
2100400010196,9.43,41.78,39.85,33.19,4.65
2100400010209,8.27,27.14,35.70,17.67,4.89
2100400010213,9.04,38.93,50.38,25.57,4.58
2100400010228,7.65,19.46,34.05,14.05,4.59
2100400010251,7.59,9.09,35.61,9.85,4.79
2100400010266,6.81,,18.75,12.50,4.56
2100400010270,10.33,52.69,40.52,37.24,4.11
2100400010285,8.81,32.66,39.38,25.00,4.66
210040001029A,7.41,,26.67,0.00,5.47
2100400010302,7.62,,37.50,,5.54
2100400010355,8.16,8.89,35.56,8.89,4.36
2100400020232,6.93,14.96,28.63,9.40,4.5
2100400020247,7.65,17.26,39.16,9.07,4.68
2100400020317,7.35,18.59,39.80,10.10,4.83
2100400020321,7.45,12.22,38.48,11.62,4.92
2100400020336,7.49,,47.50,15.00,4.59
210040006036A,6.62,3.16,18.18,2.40,4.43
2100400070374,6.05,4.11,27.66,2.06,5.02
2100400080054,6.7,1.44,24.10,2.88,5.1
2100400080088,6.8,9.24,23.10,3.30,4.83
2100400090105,5.48,7.63,32.20,3.39,4.61
2100400090139,6.7,4.95,46.45,4.95,4.61
2100400090143,7.56,8.41,42.51,10.70,4.45
2100400090158,6.65,7.08,37.80,6.15,4.51
2100400090162,5.4,5.66,32.08,,5.08
2100400090340,0.00,,,,0.00
2100500010028,6.29,2.76,17.83,1.94,3.54
2100600010010,10,41.58,37.89,32.63,3.78
210060001003A,9.78,20.66,34.71,23.14,4.06
2100600010044,12.83,,0.00,,4
2100600010059,9.56,,23.08,,3.85
2100600050063,4.89,11.71,2.97,0.70,4.71
2100700010037,6.62,5.88,28.24,5.29,3.81
2100700010041,5.81,5.00,28.33,0.00,4.95
2100700010056,5.81,20.69,27.59,,4.62
2100700010060,5.58,0.00,0.00,0.00,4.67
2100800010049,9.88,42.33,43.67,23.67,4.02
2100800010053,9.35,42.90,46.88,21.59,4.05
2100900010046,6.87,,47.37,15.79,3.11
2100900010050,6.78,6.85,33.56,8.90,3.51
2100900010065,8.17,7.35,36.76,15.69,3.47
210090001007A,4.3,0.00,,0.00,2.68
2100900010084,5.88,0.00,,0.00,4
2101000010028,8.03,33.62,24.47,21.35,4.44
2101000010032,7.08,30.83,21.01,17.55,4.77
2101000010102,6.65,22.52,18.39,12.60,4.31
2101000010117,6.55,20.74,17.65,11.85,4.49
2101000010121,7.44,25.31,19.59,18.78,4.19
2101000010140,6.59,22.64,13.84,8.81,4.66
2101000010155,8.36,38.80,26.01,22.64,4.43
210100001016A,7.99,36.27,25.80,21.64,4.42
2101000010174,10.28,56.31,30.10,44.66,3.85
210100016009A,4.82,1.06,2.13,1.06,6.01
210100025009A,5.32,2.94,3.77,2.94,5.62
2101100010025,6.53,29.46,20.33,9.75,3.63
210110001003A,7.13,0.00,,,5
2101200010037,8.06,17.87,27.95,14.41,3.9
2101200010041,7.47,14.25,27.78,11.35,3.95
2101200010056,7.68,16.03,28.85,12.50,3.71
2101300010049,7.23,37.91,25.82,21.83,4.72
2101300010053,7.03,36.43,28.52,20.45,4.91
2101300010072,6.74,31.44,32.11,17.65,4.89
2101300010087,6.74,34.49,20.73,16.42,4.7
2101300010091,6.39,30.84,17.76,14.02,4.52
2101400010031,6.75,11.91,9.47,8.70,3.6
2101500010113,9.83,44.29,32.49,29.56,3.66
2101500010128,8.21,27.08,29.21,14.71,4.1
2101500010132,11.11,55.08,44.25,44.52,3.57
2101500010147,9.2,49.42,39.77,32.43,3.98
2101500010151,9.48,48.59,30.07,28.52,3.88
2101500010166,10.27,58.98,46.68,42.01,4.1
2101500010185,11.5,67.65,56.06,49.87,3.58
210150001019A,9.92,82.80,25.81,30.11,4.06
2101500010217,8.96,35.27,31.74,22.72,3.89
2101500010221,8.74,42.68,45.12,20.73,4.19
2101500010236,9.95,38.13,34.11,23.08,3.62
2101500010240,8.86,33.86,33.66,25.00,4.03
2101500010255,6.58,17.15,23.43,7.95,5.16
